t,state,mode,x,y,z,vx,vy,vz,carrot_z,force,cmd,az,solve_ms
3.070233853002719,rising,0,-5.299344485042277e-19,3.707168242695515e-20,0.014999255537986755,-3.5041856425486974e-18,-8.43609905858494e-20,6.965674401726574e-07,0.31499925553798674,0.74709865171628,60000,9.902365480640631,0.7622480043210089
3.0902375430014217,rising,0,-5.29137304887668e-19,3.709086913975726e-20,0.01499925646930933,-3.509348076751641e-18,-8.448526154818842e-20,6.988996688050975e-07,0.3149992564693093,0.7473986505501656,60000,9.910281017154764,0.5737030005548149
3.1118729969966807,rising,0,-5.205877728714731e-19,1.001807745644863e-19,0.015056144446134567,-3.4692211316463872e-18,1.9914923839309372e-19,0.009289433248341084,0.31505614444613456,0.7430542833758296,60000,9.795653914929536,0.9662609954830259
3.1306612830012455,rising,0,-5.206599960787066e-19,1.7836544662329806e-19,0.016432469710707664,-3.470523113930546e-18,5.208428546928691e-19,0.11637048423290253,0.31643246971070765,0.6898137578835488,59370,8.390890709328461,0.5318760013324209
3.149986395997985,rising,0,-5.484327919403277e-19,2.488704963269851e-19,0.020748330280184746,-3.598866389822742e-18,7.845148433526956e-19,0.27136945724487305,0.32074833028018473,0.6126142713775635,52726,6.353964943999037,0.3291100001661107
3.1699576649989467,rising,0,-6.277020787279554e-19,3.1195963919458693e-19,0.028750859200954437,-3.92157601655928e-18,9.913678991338313e-19,0.43476206064224243,0.3287508592009544,0.5312179696788788,45720,4.206305268571999,0.444143995991908
3.1903588010027306,rising,0,-7.6677031994857295e-19,3.72181050276044e-19,0.03961452096700668,-4.4633052851166895e-18,1.1939307826679606e-18,0.5825705528259277,0.3396145209670067,0.45761372358703617,39385,2.264240727890135,0.6049509975127876
3.210505581002508,rising,0,-9.821577600009362e-19,4.364571456238712e-19,0.053873687982559204,-5.2485341921331715e-18,1.4336860846867352e-18,0.70344477891922,0.3538736879825592,0.3974766105403901,34210,0.67750951293905,0.4486499965423718
3.2298309420002624,rising,0,-1.2754462267101879e-18,5.087154563346526e-19,0.0693146288394928,-6.289744065871539e-18,1.730267660812137e-18,0.7844796776771545,0.3693146288394928,0.35725916116142276,30748,-0.383636908669585,0.4321089945733547
3.25014451899915,rising,0,-1.649904996351079e-18,5.957563117723692e-19,0.08634534478187561,-7.545930322596618e-18,2.095463972146389e-18,0.8345001935958862,0.3863453447818756,0.33254890320205693,28621,-1.0356226068058874,0.4548659999272786
