t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,roll,pitch,solve_ms,ref_vx,ref_vy,ref_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,vbat,cmd_ctrl,spool_ceil,accz,hover_raw,hover_cmd,hover_est,hover_b50,hover_kf,kf_sigma,kf_used,b50_n,hover_vbat,az_mpc,eps0,eps_max,ge_az,z_ground
11.494132301013451,prespin,0,0.03638186305761337,0.004096750635653734,0.03529878333210945,-0.0006508317310363054,0.010970975272357464,-0.005500246770679951,0.03638186305761337,0.004096750635653734,0.03529878333210945,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03638186305761337,0.004096750635653734,0.03529878333210945,0.0,0.0,0.0,4.127859115600586,nan,20000.0,1.000532865524292,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.512530599022284,prespin,0,0.03637632727622986,0.004095199052244425,0.03529313579201698,-0.0007391960825771093,0.01053334679454565,-0.004830440506339073,0.03637632727622986,0.004095199052244425,0.03529313579201698,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03637632727622986,0.004095199052244425,0.03529313579201698,0.0,0.0,0.0,4.127859115600586,nan,20000.0,0.9967640042304993,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.532851093012141,prespin,0,0.03635421395301819,0.004088003188371658,0.03528295457363129,-0.0006433735252358019,0.006125756073743105,-0.005274053663015366,0.03635421395301819,0.004088003188371658,0.03528295457363129,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03635421395301819,0.004088003188371658,0.03528295457363129,0.0,0.0,0.0,4.127859115600586,nan,20000.0,0.9967640042304993,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.552500574995065,prespin,0,0.03637870028614998,0.00410184171050787,0.03531822934746742,-0.00053006736561656,0.0019156963098794222,-0.005675189197063446,0.03637870028614998,0.00410184171050787,0.03531822934746742,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03637870028614998,0.00410184171050787,0.03531822934746742,0.0,0.0,0.0,4.127859115600586,nan,20000.0,1.00080144405365,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.572606080997502,prespin,0,0.03636402264237404,0.004086839966475964,0.0352916345000267,-0.00036272406578063965,-0.002283058362081647,-0.006191263906657696,0.03636402264237404,0.004086839966475964,0.0352916345000267,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03636402264237404,0.004086839966475964,0.0352916345000267,0.0,0.0,0.0,4.127859115600586,nan,20000.0,0.9941578507423401,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.59362877102103,prespin,0,0.036373257637023926,0.004095591139048338,0.03528369218111038,-0.00023509895254392177,-0.0065398141741752625,-0.0062606376595795155,0.036373257637023926,0.004095591139048338,0.03528369218111038,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.036373257637023926,0.004095591139048338,0.03528369218111038,0.0,0.0,0.0,4.127859115600586,nan,20000.0,0.9941578507423401,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.612527516001137,prespin,0,0.036363229155540466,0.004100365098565817,0.035322047770023346,-4.494405584409833e-05,-0.010558740235865116,-0.006446704734116793,0.036363229155540466,0.004100365098565817,0.035322047770023346,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.036363229155540466,0.004100365098565817,0.035322047770023346,0.0,0.0,0.0,4.127859115600586,nan,20000.0,0.9988397359848022,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.632404197007418,prespin,0,0.036374129354953766,0.004099614918231964,0.035294122993946075,0.00021518650464713573,-0.014577561058104038,-0.005942503456026316,0.036374129354953766,0.004099614918231964,0.035294122993946075,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.036374129354953766,0.004099614918231964,0.035294122993946075,0.0,0.0,0.0,4.127859115600586,nan,20000.0,0.9988397359848022,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.652398492005887,prespin,0,0.0363825187087059,0.004104007035493851,0.035301972180604935,0.0004911263240501285,-0.01836238242685795,-0.006889477372169495,0.0363825187087059,0.004104007035493851,0.035301972180604935,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0363825187087059,0.004104007035493851,0.035301972180604935,0.0,0.0,0.0,4.127859115600586,nan,20000.0,0.9941210150718689,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
11.67258058101288,prespin,0,0.03636811673641205,0.00408155657351017,0.035315386950969696,0.0007866162341088057,-0.021818028762936592,-0.007895245216786861,0.03636811673641205,0.00408155657351017,0.035315386950969696,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03636811673641205,0.00408155657351017,0.035315386950969696,0.0,0.0,0.0,4.048680305480957,nan,20000.0,1.000421404838562,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0.03529878333210945
