t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,roll,pitch,solve_ms,ref_vx,ref_vy,ref_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,vbat,cmd_ctrl,spool_ceil,accz,hover_raw,hover_cmd,hover_est,hover_b50,hover_kf,kf_sigma,kf_used,b50_n,hover_vbat,az_mpc,eps0,eps_max,ge_az,d_hat,z_ground
12.171329106000485,prespin,0,0.03343934193253517,-0.0009703333489596844,0.035513851791620255,0.0046942150220274925,0.009956047870218754,-0.006399902515113354,0.03343934193253517,-0.0009703333489596844,0.035513851791620255,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03343934193253517,-0.0009703333489596844,0.035513851791620255,0.0,0.0,0.0,3.842815399169922,nan,20000.0,0.9964766502380371,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.190448092995211,prespin,0,0.03343390300869942,-0.0009643576922826469,0.03551128879189491,0.00314460601657629,0.006065362133085728,-0.00346368714235723,0.03343390300869942,-0.0009643576922826469,0.03551128879189491,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03343390300869942,-0.0009643576922826469,0.03551128879189491,0.0,0.0,0.0,3.842815399169922,nan,20000.0,1.0006057024002075,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.209528537990991,prespin,0,0.033434417098760605,-0.0009396095992997289,0.03551238402724266,0.003241012804210186,0.006146793719381094,-0.0030572200194001198,0.033434417098760605,-0.0009396095992997289,0.03551238402724266,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.033434417098760605,-0.0009396095992997289,0.03551238402724266,0.0,0.0,0.0,3.842815399169922,nan,20000.0,0.9994842410087585,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.229668037005467,prespin,0,0.033436816185712814,-0.0009492862736806273,0.03551096469163895,0.0031245164573192596,0.006564958952367306,-0.002829435747116804,0.033436816185712814,-0.0009492862736806273,0.03551096469163895,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.033436816185712814,-0.0009492862736806273,0.03551096469163895,0.0,0.0,0.0,3.842815399169922,nan,20000.0,0.9975355267524719,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.250070918991696,prespin,0,0.03343593329191208,-0.0009146704105660319,0.03556329756975174,0.0026888162828981876,0.0030182390473783016,-0.0027422993443906307,0.03343593329191208,-0.0009146704105660319,0.03556329756975174,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03343593329191208,-0.0009146704105660319,0.03556329756975174,0.0,0.0,0.0,3.842815399169922,nan,20000.0,0.9998171925544739,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.27006011098274,prespin,0,0.03341931104660034,-0.0009433451341465116,0.035527076572179794,0.0022723895963281393,-0.0005102672730572522,-0.003035403788089752,0.03341931104660034,-0.0009433451341465116,0.035527076572179794,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03341931104660034,-0.0009433451341465116,0.035527076572179794,0.0,0.0,0.0,3.842815399169922,nan,20000.0,0.997109591960907,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.289715527003864,prespin,0,0.03342583775520325,-0.0009605120867490768,0.03551557660102844,0.0017840787768363953,-0.004125690087676048,-0.003245618427172303,0.03342583775520325,-0.0009605120867490768,0.03551557660102844,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03342583775520325,-0.0009605120867490768,0.03551557660102844,0.0,0.0,0.0,3.842815399169922,nan,20000.0,0.9979094862937927,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.309950347000267,prespin,0,0.033441212028265,-0.0009490337688475847,0.03553897142410278,0.0013388165971264243,-0.0075670392252504826,-0.003311839420348406,0.033441212028265,-0.0009490337688475847,0.03553897142410278,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.033441212028265,-0.0009490337688475847,0.03553897142410278,0.0,0.0,0.0,3.842815399169922,nan,20000.0,1.000665545463562,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.329654895991553,prespin,0,0.03343195840716362,-0.0009680037619546056,0.035508833825588226,0.0008859991794452071,-0.010934986174106598,-0.0031116430182009935,0.03343195840716362,-0.0009680037619546056,0.035508833825588226,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03343195840716362,-0.0009680037619546056,0.035508833825588226,0.0,0.0,0.0,3.842815399169922,nan,20000.0,1.001826524734497,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.349672396987444,prespin,0,0.03344401344656944,-0.0009804044384509325,0.03550983592867851,0.0004257967520970851,-0.01420232281088829,-0.002817658009007573,0.03344401344656944,-0.0009804044384509325,0.03550983592867851,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03344401344656944,-0.0009804044384509325,0.03550983592867851,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9949355721473694,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.369675491005182,prespin,0,0.03345467150211334,-0.000969070999417454,0.0355205237865448,3.3305903343716636e-05,-0.01735508255660534,-0.0034507170785218477,0.03345467150211334,-0.000969070999417454,0.0355205237865448,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03345467150211334,-0.000969070999417454,0.0355205237865448,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9984241127967834,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.389585030992748,prespin,0,0.03346223384141922,-0.000972271547652781,0.035528514534235,-0.0003704540431499481,-0.020161373540759087,-0.0035559963434934616,0.03346223384141922,-0.000972271547652781,0.035528514534235,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03346223384141922,-0.000972271547652781,0.035528514534235,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,1.0022169351577759,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.409479089983506,prespin,0,0.03345467150211334,-0.0009664183598943055,0.03554316982626915,-0.0007215303485281765,-0.022997016087174416,-0.0027628240641206503,0.03345467150211334,-0.0009664183598943055,0.03554316982626915,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03345467150211334,-0.0009664183598943055,0.03554316982626915,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9968273043632507,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.429736543999752,prespin,0,0.033481258898973465,-0.0009809699840843678,0.03552492335438728,-0.0010709048947319388,-0.025483140721917152,-0.0029874369502067566,0.033481258898973465,-0.0009809699840843678,0.03552492335438728,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.033481258898973465,-0.0009809699840843678,0.03552492335438728,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9920192360877991,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.450212333991658,prespin,0,0.03349929675459862,-0.0009689604630693793,0.035551898181438446,-0.0013732112711295485,-0.028019482269883156,-0.004168648738414049,0.03349929675459862,-0.0009689604630693793,0.035551898181438446,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03349929675459862,-0.0009689604630693793,0.035551898181438446,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9964466691017151,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.469634863984538,prespin,0,0.03348594531416893,-0.0009839795529842377,0.035527557134628296,-0.0017082510748878121,-0.030699532479047775,-0.004770244006067514,0.03348594531416893,-0.0009839795529842377,0.035527557134628296,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03348594531416893,-0.0009839795529842377,0.035527557134628296,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,1.0064947605133057,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.489453419984784,prespin,0,0.03349603712558746,-0.000977188115939498,0.035536590963602066,-0.002004205947741866,-0.032331258058547974,-0.003863757476210594,0.03349603712558746,-0.000977188115939498,0.035536590963602066,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03349603712558746,-0.000977188115939498,0.035536590963602066,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9977960586547852,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.50956535199657,prespin,0,0.03350719064474106,-0.000990631291642785,0.035525694489479065,-0.002267680363729596,-0.03440234810113907,-0.00400290172547102,0.03350719064474106,-0.000990631291642785,0.035525694489479065,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03350719064474106,-0.000990631291642785,0.035525694489479065,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9993621110916138,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.529614142986247,prespin,0,0.033502619713544846,-0.000999238109216094,0.0355263315141201,-0.0024722979869693518,-0.03564592823386192,-0.0037006463389843702,0.033502619713544846,-0.000999238109216094,0.0355263315141201,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.033502619713544846,-0.000999238109216094,0.0355263315141201,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,0.9966989755630493,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.54991105600493,prespin,0,0.03350646793842316,-0.0009717900538817048,0.035528358072042465,-0.0027175145223736763,-0.037476856261491776,-0.0035862205550074577,0.03350646793842316,-0.0009717900538817048,0.035528358072042465,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03350646793842316,-0.0009717900538817048,0.035528358072042465,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,1.005337119102478,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
12.571586856996873,spool,0,0.03350739926099777,-0.0010136589407920837,0.035536203533411026,-0.0028967384714633226,-0.03837843984365463,-0.0023232451640069485,0.03350739926099777,-0.0010136589407920837,0.035536203533411026,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03350739926099777,-0.0010136589407920837,0.035536203533411026,0.0,0.0,0.0,3.7794721126556396,nan,20000.0,1.0051867961883545,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.035513851791620255
