t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,roll,pitch,solve_ms,ref_vx,ref_vy,ref_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz
4.352094998997927,rising,0,-5.136939979476679e-19,3.7462670669228506e-20,0.014999255537986755,-3.5419679442076695e-18,-8.527054029283681e-20,6.866511625958083e-07,-5.136939979476679e-19,3.7462670669228506e-20,0.015244685451877972,0.3778663964045922,32522,0.16008961489689,-4.513264005700854e-20,0.0,0.5242650004220195,0.0,0.0,0.012134988600519135,3.5,3.5,0.1,0.0,0.0,0.0
4.371735125998384,rising,0,-5.310943625181802e-19,3.7043765081281485e-20,0.01499925833195448,-3.541438962205942e-18,-8.52578030038732e-20,6.995499575168651e-07,-5.136939979476679e-19,3.7462670669228506e-20,0.015543895639205788,0.3808380250920247,32777,0.23849670427505565,-4.477378695747187e-20,0.0,0.37225999767542817,0.0,0.0,0.018077169599564513,3.5,3.5,0.1,0.0,0.0,0.0
4.391737280999223,rising,0,-5.317065278702577e-19,3.7029027695446117e-20,0.01499925833195448,-3.5448486006908854e-18,-8.533987483027494e-20,6.987951337578124e-07,-5.136939979476679e-19,3.7462670669228506e-20,0.015966185278614334,0.3838436405966777,33036,0.3178005434479587,-4.446595738703172e-20,0.0,0.33165199783979915,0.0,0.0,0.02408646600015345,3.5,3.5,0.1,0.0,0.0,0.0
4.411666732998128,rising,0,-5.322871569614817e-19,3.701504640438941e-20,0.01499925833195448,-3.5476862437822486e-18,-8.5408194778993e-20,6.98059807291429e-07,-5.136939979476679e-19,3.7462670669228506e-20,0.016506045694989414,0.3887193114052923,33456,0.44644621122143135,-4.4403990631012525e-20,0.0,0.3399380002520047,0.0,0.0,0.030067824899742843,3.5,3.5,0.1,0.0,0.0,0.0
4.431725069996901,rising,0,-5.328291153590688e-19,3.7001998922696093e-20,0.01499925833195448,-3.54999200973974e-18,-8.546369989056501e-20,6.97341874911217e-07,-5.136939979476679e-19,3.7462670669228506e-20,0.017167911969601598,0.3925509332115222,33786,0.5475444119135133,-4.4012145214838723e-20,0.0,0.3838839984382503,0.0,0.0,0.03607206480046443,3.5,3.5,0.1,0.0,0.0,0.0
4.451700544999767,rising,0,-5.276775379016651e-19,4.4519012432794535e-20,0.014999466016888618,-3.52825328965154e-18,-4.857091788929433e-20,1.989028532989323e-05,-5.136939979476679e-19,3.7462670669228506e-20,0.01794989387431975,0.3965234322923241,34127,0.6523596910903446,-1.738017557396661e-20,0.0,0.3462230015429668,0.0,0.0,0.04207591950034839,3.5,3.5,0.1,0.0,0.0,0.0
4.4719402359987726,rising,0,-4.960581453965193e-19,7.873162585181684e-20,0.015020803548395634,-3.47772372116282e-18,1.0859022871382423e-19,0.001896244240924716,-5.136939979476679e-19,3.7462670669228506e-20,0.018853812347468798,0.3996998017500481,34401,0.7361689116107666,9.563584382187046e-20,0.0,0.4850110017287079,0.0,0.0,0.048090893999687974,3.5,3.5,0.1,0.0,0.0,0.0
4.491776224997011,rising,0,-5.247836465286483e-19,9.873137964788294e-20,0.01512988656759262,-3.5031777229723016e-18,1.8757085531706514e-19,0.0073781199753284454,-5.136939979476679e-19,3.7462670669228506e-20,0.019876167959833234,0.40110669205561433,34522,0.7732900278526191,1.5462632731711036e-19,0.0,0.3438729982008226,0.0,0.0,0.05409387629952107,3.5,3.5,0.1,0.0,0.0,0.0
4.5116708089990425,rising,0,-5.572883290843789e-19,1.220119062367448e-19,0.015375875867903233,-3.643760790388445e-18,2.73996417626013e-19,0.01478855311870575,-5.136939979476679e-19,3.7462670669228506e-20,0.021013478676974052,0.40150986350774465,34557,0.7839277970381158,2.2071432312521453e-19,0.0,0.3285940001660492,0.0,0.0,0.060071073599465306,3.5,3.5,0.1,0.0,0.0,0.0
4.53171399099665,rising,0,-6.270102455431314e-19,1.4271325136392366e-19,0.01580299623310566,-3.922445796973379e-18,3.413126343695198e-19,0.02399800531566143,-5.136939979476679e-19,3.7462670669228506e-20,0.02227723588301418,0.40096271005050266,34510,0.769491030356269,2.7524444639223797e-19,0.0,0.34114799927920103,0.0,0.0,0.06608167830054298,3.5,3.5,0.1,0.0,0.0,0.0
