t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,roll,pitch,solve_ms,ref_vx,ref_vy,ref_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,vbat,cmd_ctrl,spool_ceil,accz,hover_raw,hover_cmd,hover_est,hover_b50,hover_kf,kf_sigma,kf_used,b50_n,hover_vbat,az_mpc,eps0,eps_max,ge_az,d_hat,d_x,d_y,z_ground
12.186392856005114,prespin,0,0.03741876035928726,0.0012996994191780686,0.0354328490793705,0.004830256104469299,0.010633589699864388,-0.005640571005642414,0.03741876035928726,0.0012996994191780686,0.0354328490793705,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03741876035928726,0.0012996994191780686,0.0354328490793705,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.9982205629348755,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.20573181900545,prespin,0,0.037421006709337234,0.0012846461031585932,0.0354197695851326,0.003201441140845418,0.00647130748257041,-0.0036896581295877695,0.037421006709337234,0.0012846461031585932,0.0354197695851326,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.037421006709337234,0.0012846461031585932,0.0354197695851326,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.9983229041099548,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.225621616002172,prespin,0,0.03741345927119255,0.0013043521903455257,0.03544354438781738,0.003252099733799696,0.00671717943623662,-0.0036435413639992476,0.03741345927119255,0.0013043521903455257,0.03544354438781738,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03741345927119255,0.0013043521903455257,0.03544354438781738,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.9971315860748291,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.245638332999079,prespin,0,0.03742635250091553,0.001279094023630023,0.035409413278102875,0.00231184926815331,0.0049413712695240974,-0.004424640908837318,0.03742635250091553,0.001279094023630023,0.035409413278102875,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03742635250091553,0.001279094023630023,0.035409413278102875,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.995331883430481,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.265249569987645,prespin,0,0.03741708770394325,0.001263564103282988,0.035428550094366074,0.0010528929997235537,0.0016988010611385107,-0.004422112368047237,0.03741708770394325,0.001263564103282988,0.035428550094366074,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03741708770394325,0.001263564103282988,0.035428550094366074,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.9959253072738647,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.285517737996997,prespin,0,0.03741786628961563,0.0012933698017150164,0.03546490520238876,-0.0001892940781544894,-0.0016670983750373125,-0.004857564810663462,0.03741786628961563,0.0012933698017150164,0.03546490520238876,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03741786628961563,0.0012933698017150164,0.03546490520238876,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.9980038404464722,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.30518806001055,prespin,0,0.037431348115205765,0.0012773878406733274,0.03541332855820656,-0.001390234800055623,-0.004854028578847647,-0.004990333691239357,0.037431348115205765,0.0012773878406733274,0.03541332855820656,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.037431348115205765,0.0012773878406733274,0.03541332855820656,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,1.0003465414047241,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.325381784990896,prespin,0,0.03743895888328552,0.0012911190278828144,0.03543728590011597,-0.0026333488058298826,-0.008021626621484756,-0.004538782872259617,0.03743895888328552,0.0012911190278828144,0.03543728590011597,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03743895888328552,0.0012911190278828144,0.03543728590011597,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.9979358911514282,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.345457388000796,prespin,0,0.03743009269237518,0.0012946876231580973,0.035445477813482285,-0.003749204333871603,-0.011045938357710838,-0.0048393746837973595,0.03743009269237518,0.0012946876231580973,0.035445477813482285,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03743009269237518,0.0012946876231580973,0.035445477813482285,0.0,0.0,0.0,3.8111438751220703,nan,20000.0,0.997364342212677,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
12.365624422003748,prespin,0,0.03742585703730583,0.0012766981963068247,0.03542035445570946,-0.004810648038983345,-0.01397952251136303,-0.004980103112757206,0.03742585703730583,0.0012766981963068247,0.03542035445570946,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.03742585703730583,0.0012766981963068247,0.03542035445570946,0.0,0.0,0.0,3.7530791759490967,nan,20000.0,0.9987949132919312,nan,39200,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0.0354328490793705
