t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,solve_ms
3.067761344005703,rising,0,-5.161576003057922e-19,3.7403365696717575e-20,0.01499925833195448,-3.49992111290068e-18,-8.425821339473968e-20,7.116846063581761e-07,-5.161576003057922e-19,3.7403365696717575e-20,0.31499925833195447,0.7470986441576969,60000,9.90236528120572,0.7537870042142458
3.088397737003106,rising,0,-5.14488866817543e-19,3.744353565521468e-20,0.01499925833195448,-3.50059319714838e-18,-8.427438865312422e-20,7.072259791129909e-07,-5.161576003057922e-19,3.7403365696717575e-20,0.31499925833195447,0.7473986463870105,60000,9.910280907308982,0.44549000449478626
3.107426481001312,rising,0,-5.102031923651175e-19,7.310257777286252e-20,0.015035142190754414,-3.465838790121658e-18,8.077602858513579e-20,0.003953302279114723,-5.161576003057922e-19,3.7403365696717575e-20,0.3150351421907544,0.7457223488604428,60000,9.866051421119858,0.43796500540338457
3.1279159240002627,rising,0,-5.112336526132054e-19,1.1722465014038244e-19,0.016053225845098495,-3.4871854265995076e-18,2.6840206589634617e-19,0.09149996936321259,-5.161576003057922e-19,3.7403365696717575e-20,0.3160532258450985,0.7022490153183938,60000,8.718997765656825,0.6013749953126535
3.1482597950016498,rising,0,-5.445085437167995e-19,1.5729671698187203e-19,0.019917458295822144,-3.639964858557439e-18,4.2227322116648297e-19,0.24243009090423584,-5.161576003057922e-19,3.7403365696717575e-20,0.31991745829582213,0.6270839545478821,53971,6.735750779627496,0.632613999187015
3.16750127600244,rising,0,-6.22544194018381e-19,1.9353106644672477e-19,0.02696731872856617,-3.9675184549610876e-18,5.487499123076652e-19,0.4056882858276367,-5.161576003057922e-19,3.7403365696717575e-20,0.32696731872856616,0.5457548570861817,46972,4.589864303065477,0.46383200242416933
3.1874471250048373,rising,0,-7.668664796947822e-19,2.2567407720431367e-19,0.03760342672467232,-4.5355475175043144e-18,6.443806248164387e-19,0.563828706741333,-5.161576003057922e-19,3.7403365696717575e-20,0.3376034267246723,0.46698464662933353,40192,2.5114946340193534,0.45076000242261216
3.2074474770051893,rising,0,-9.865322012728463e-19,2.557838909409443e-19,0.0512341633439064,-5.365849909689117e-18,7.314322336021185e-19,0.6967200040817261,-5.161576003057922e-19,3.7403365696717575e-20,0.3512341633439064,0.400838997959137,34499,0.7662268590801311,0.44303200411377475
3.228250880005362,rising,0,-1.2916164703122573e-18,2.889293282786738e-19,0.06751612573862076,-6.476365524640546e-18,8.49570737373613e-19,0.7957292199134827,-5.161576003057922e-19,3.7403365696717575e-20,0.36751612573862075,0.3516343900432587,30264,-0.5320477561145474,0.6535190041176975
3.248062265003682,rising,0,-1.6833475983238683e-18,3.271727055809618e-19,0.08435088396072388,-7.875087822208007e-18,1.0063998388154512e-18,0.8524436354637146,-5.161576003057922e-19,3.7403365696717575e-20,0.38435088396072387,0.32357718226814275,27849,-1.2723434757745995,0.5297710013110191
3.2678972150024492,rising,0,-2.161753192460623e-18,3.7406314466354356e-19,0.10183446854352951,-9.508056502312216e-18,1.2088023527083218e-18,0.8772329688072205,-5.161576003057922e-19,3.7403365696717575e-20,0.4018344685435295,0.31148251559638984,26808,-1.5914639684329863,0.4382560000522062
3.287925188000372,rising,0,-2.7236598777000387e-18,4.3314532124636197e-19,0.11935533583164215,-1.1335966010196184e-17,1.4652242066966976e-18,0.875408411026001,-5.161576003057922e-19,3.7403365696717575e-20,0.41935533583164214,0.31269479448699955,26913,-1.559477718021121,0.45684399810852483
3.3088911080049,rising,0,-3.3771517935661725e-18,5.097412636917949e-19,0.13722197711467743,-1.3320171294822047e-17,1.7841411069271032e-18,0.8534845113754272,-5.161576003057922e-19,3.7403365696717575e-20,0.4372219771146774,0.32395674431228644,27882,-1.262328646113815,0.442229000327643
3.32865182000387,rising,0,-4.091171616780108e-18,6.043115823540638e-19,0.15346147119998932,-1.5417311548479775e-17,2.173692097036754e-18,0.8223302960395813,-5.161576003057922e-19,3.7403365696717575e-20,0.4534614711999893,0.3398338519802094,29248,-0.8434075994667722,0.5770330026280135
3.348988243000349,rising,0,-4.8709084581195445e-18,7.221499229607781e-19,0.16896145045757294,-1.7586797845692004e-17,2.641284476013486e-18,0.7885441780090332,-5.161576003057922e-19,3.7403365696717575e-20,0.4689614504575729,0.35702691099548345,30728,-0.3897648813856627,0.5184930050745606
3.3689216670027236,rising,0,-5.71026434210874e-18,8.670099794329154e-19,0.1837773472070694,-1.9796814338558105e-17,3.193010222273599e-18,0.758793830871582,-5.161576003057922e-19,3.7403365696717575e-20,0.4837773472070694,0.37220208456420906,32034,0.010635476628205964,0.4850730038015172
3.388905664003687,rising,0,-6.603434115208798e-18,1.0432605578744626e-18,0.19807545840740204,-2.2020100462810782e-17,3.8375692079096195e-18,0.7370267510414124,-5.161576003057922e-19,3.7403365696717575e-20,0.498075458407402,0.38338562447929386,32997,0.3057156854694938,0.45501099521061406
3.4089298700055224,rising,0,-7.544784677448232e-18,1.2562390928867066e-18,0.21205021440982819,-2.4231809367210167e-17,4.5883679626995006e-18,0.7231517434120178,-5.161576003057922e-19,3.7403365696717575e-20,0.5120502144098282,0.3906231282939912,33620,0.49667884680715524,0.46352000208571553
3.431170681004005,rising,0,-8.528616754406552e-18,1.5116422739507233e-18,0.2258802354335785,-2.6409504604821372e-17,5.4592406687978855e-18,0.7167584300041199,-5.161576003057922e-19,3.7403365696717575e-20,0.5258802354335785,0.39411978499794015,33921,0.5889389181514542,0.6878540007164702
3.449366729000758,rising,0,-9.429048346104214e-18,1.7653173713175402e-18,0.23972344398498535,-2.800559922757919e-17,6.201012815153282e-18,0.7158462405204773,-5.161576003057922e-19,3.7403365696717575e-20,0.5397234439849854,0.39487587973976146,33986,0.6088886474871078,0.4427640014910139
3.46849296700384,rising,0,-1.0482740788876312e-17,2.1157600892462965e-18,0.2536272406578064,-3.007120156602211e-17,7.322142398134685e-18,0.7185107469558716,-5.161576003057922e-19,3.7403365696717575e-20,0.5536272406578064,0.39384362652206434,33897,0.5816524148301916,0.42959299753420055
3.48838619000162,rising,0,-1.1561032755885125e-17,2.5296885055981914e-18,0.2676815688610077,-3.2043769246609965e-17,8.626168645586769e-18,0.7231788635253906,-5.161576003057922e-19,3.7403365696717575e-20,0.5676815688610077,0.3918095682373048,33722,0.5279833307995965,0.44268000056035817
3.5073658610053826,rising,0,-1.2689348470438083e-17,3.0268997407686096e-18,0.2825934886932373,-3.389860596497437e-17,1.0148717812901887e-17,0.7286438941955566,-5.161576003057922e-19,3.7403365696717575e-20,0.5825934886932373,0.3893770529022218,33512,0.4638008681325001,0.43151799764018506
3.5277584430004936,rising,0,-1.3791392101555743e-17,3.5950708715820425e-18,0.2968407869338989,-3.56078754391417e-17,1.1899941887737901e-17,0.733130156993866,-5.161576003057922e-19,3.7403365696717575e-20,0.596840786933899,0.3874339215030671,33345,0.41253091037116185,0.6190339991007932
3.5480702240020037,rising,0,-1.4893870002494994e-17,4.2512074906616614e-18,0.31125980615615845,-3.715584138513873e-17,1.3891232801490894e-17,0.7372385263442993,-5.161576003057922e-19,3.7403365696717575e-20,0.6112598061561585,0.38567973682785045,33194,0.3662463542968446,0.8264839998446405
3.567297575005796,rising,0,-1.5988167087176096e-17,5.002686187915061e-18,0.32582685351371765,-3.852075887902268e-17,1.6129525636416508e-17,0.7407326698303223,-5.161576003057922e-19,3.7403365696717575e-20,0.6258268535137177,0.383932665084839,33044,0.3201494745340092,0.4388289962662384
3.588384248003422,rising,0,-1.710069357819664e-17,5.874508910946963e-18,0.3411385416984558,-3.966694004044556e-17,1.8624229571982535e-17,0.7431609630584717,-5.161576003057922e-19,3.7403365696717575e-20,0.6411385416984559,0.38271851847076427,32939,0.28811394381963673,0.4641279956558719
3.6082680610052194,rising,0,-1.814676934188835e-17,6.839192170314987e-18,0.3557874858379364,-4.0585491023461195e-17,2.1374375152511062e-17,0.7446751594543457,-5.161576003057922e-19,3.7403365696717575e-20,0.6557874858379364,0.38196142027282726,32874,0.26813773806931884,0.4327319984440692
3.6287240130041027,rising,0,-1.9157244906377004e-17,7.919701808546055e-18,0.3705327808856964,-4.126332252205655e-17,2.4380294904608336e-17,0.7457526922225952,-5.161576003057922e-19,3.7403365696717575e-20,0.6705327808856965,0.3814226538887025,32828,0.2539222661926761,0.6473569956142455
3.6487877760009724,rising,0,-2.012306760703882e-17,9.122409184308356e-18,0.38535434007644653,-4.168425157472763e-17,2.764400549460776e-17,0.7465112209320068,-5.161576003057922e-19,3.7403365696717575e-20,0.6853543400764466,0.3810433895339967,32795,0.24391529113447596,0.5551119975280017
3.668627713006572,rising,0,-2.1035275769117398e-17,1.0452940780128477e-17,0.4002363681793213,-4.183392825220788e-17,3.116501888594793e-17,0.7470663785934448,-5.161576003057922e-19,3.7403365696717575e-20,0.7002363681793213,0.3807658107032777,32771,0.23659131143212697,0.5882580007892102
3.688306039002782,rising,0,-2.1888469557573994e-17,1.191579149545503e-17,0.4151666760444641,-4.172363860677496e-17,3.493811722332486e-17,0.7475075125694275,-5.161576003057922e-19,3.7403365696717575e-20,0.7151666760444642,0.38054524371528636,32752,0.23077160198644542,0.442883996583987
3.708341648001806,rising,0,-2.268701814040411e-17,1.3513848190625826e-17,0.4301356375217438,-4.1428487329326236e-17,3.89507968445992e-17,0.7478819489479065,-5.161576003057922e-19,3.7403365696717575e-20,0.7301356375217438,0.38035802552604686,32736,0.22583180807511383,0.4535849948297255
3.728678747000231,rising,0,-2.3440174359939768e-17,1.5248614679994486e-17,0.4451353847980499,-4.1042686982909054e-17,4.318579614474819e-17,0.7482042908668518,-5.161576003057922e-19,3.7403365696717575e-20,0.74513538479805,0.3801968545665742,32722,0.22157927616290607,0.5387290002545342
3.748716466005135,rising,0,-2.416335189971528e-17,1.7120069456865083e-17,0.4601592719554901,-4.067943888871252e-17,4.762091028740846e-17,0.7484927773475647,-5.161576003057922e-19,3.7403365696717575e-20,0.7601592719554902,0.38005261132621776,32710,0.21777338591603446,0.5616700000246055
3.7674307260022033,rising,0,-2.4907701954449696e-17,1.8870482894700796e-17,0.4752912223339081,-4.052627481776975e-17,5.1061187542241005e-17,0.7492488622665405,-5.161576003057922e-19,3.7403365696717575e-20,0.7752912223339081,0.37967456886672984,32677,0.20779865083719784,0.4425570004968904
3.787441961001605,rising,0,-2.5660391644119874e-17,2.131763221685115e-17,0.4908837080001831,-4.05856035200245e-17,5.697901300673523e-17,0.7482779026031494,-5.161576003057922e-19,3.7403365696717575e-20,0.7908837080001831,0.3801600486984254,32719,0.22060814507718618,0.4432030036696233
3.8074618930040742,rising,0,-2.647047443341143e-17,2.3310113443505605e-17,0.5059193968772888,-4.102550147850265e-17,6.060907858131194e-17,0.7483618259429932,-5.161576003057922e-19,3.7403365696717575e-20,0.8059193968772889,0.3801180870285035,32716,0.21950097700536908,0.43827499757753685
3.8278672660017037,rising,0,-2.7423790163211444e-17,2.5961664058101487e-17,0.5207471251487732,-4.267151479686682e-17,6.672862692742824e-17,0.7473267316818237,-5.161576003057922e-19,3.7403365696717575e-20,0.8207471251487732,0.38063563415908824,32760,0.2331565741184214,0.5621849995804951
3.84797714400338,rising,0,-2.8497308470905213e-17,2.817672304398171e-17,0.5358139276504517,-4.445195158221576e-17,7.04233581735719e-17,0.7477502822875977,-5.161576003057922e-19,3.7403365696717575e-20,0.8358139276504517,0.3804238588562013,32742,0.22756883525596905,0.724246994650457
3.8673981920001097,rising,0,-2.9893936760751996e-17,3.076781999068977e-17,0.5507956743240356,-4.7980991934220145e-17,7.532103502349427e-17,0.7478103637695312,-5.161576003057922e-19,3.7403365696717575e-20,0.8507956743240357,0.3803938181152345,32739,0.22677620356819084,0.42309900163672864
3.8874071760001243,rising,0,-3.168098768227891e-17,3.344856677218632e-17,0.5657992362976074,-5.3179696352662816e-17,8.014716405915326e-17,0.7480263710021973,-5.161576003057922e-19,3.7403365696717575e-20,0.8657992362976075,0.3802858144989015,32730,0.22392650392879787,0.45408699952531606
3.9072923400017316,rising,0,-3.398064904684983e-17,3.620507668034783e-17,0.58082115650177,-6.043913597882414e-17,8.484909027147618e-17,0.748251736164093,-5.161576003057922e-19,3.7403365696717575e-20,0.8808211565017701,0.3801731319179536,32720,0.22095334875866968,0.4383370032883249
3.928007313006674,rising,0,-3.6912243312186766e-17,3.899383008878666e-17,0.5954460501670837,-7.019819299339006e-17,8.930125426092239e-17,0.7463832497596741,-5.161576003057922e-19,3.7403365696717575e-20,0.8954460501670838,0.38110737512016307,32801,0.24560356517580573,0.6428609995055012
3.948053404004895,rising,0,-4.0628570589762956e-17,4.1789899082562905e-17,0.6097086668014526,-8.29743615137411e-17,9.340434803187123e-17,0.7426638603210449,-5.161576003057922e-19,3.7403365696717575e-20,0.9097086668014527,0.38296706983947765,32961,0.2946720274268504,0.6222480005817488
3.9673701580031775,rising,0,-4.532318452547091e-17,4.462727085868515e-17,0.6244847774505615,-9.905057039659489e-17,9.721334269911051e-17,0.7422083616256714,-5.161576003057922e-19,3.7403365696717575e-20,0.9244847774505616,0.3831948191871644,32980,0.3006812450439149,0.45156999840401113
3.987375556003826,rising,0,-5.116813868672166e-17,4.7442967194036054e-17,0.6393243670463562,-1.1901518328549305e-16,1.0051005448682835e-16,0.7428207993507385,-5.161576003057922e-19,3.7403365696717575e-20,0.9393243670463562,0.38288860032463085,32954,0.2926015916789133,0.4404220017022453
4.007342340002651,rising,0,-5.837508212248792e-17,5.022440501713746e-17,0.6546564698219299,-1.4314240062732956e-16,1.0319886793365852e-16,0.7464267015457153,-5.161576003057922e-19,3.7403365696717575e-20,0.95465646982193,0.38108564922714244,32799,0.24503032261589475,0.433501998486463
4.027523815006134,rising,0,-6.713467334651827e-17,5.282568952026972e-17,0.6696134805679321,-1.7241669308249564e-16,1.0469558838634667e-16,0.7477395534515381,-5.161576003057922e-19,3.7403365696717575e-20,0.9696134805679322,0.38042922327423107,32742,0.2277103766287869,0.615219003520906
4.047748878001585,rising,0,-7.765304245873847e-17,5.514637450728929e-17,0.6842126846313477,-2.0739198049382618e-16,1.0452207236361265e-16,0.746609628200531,-5.161576003057922e-19,3.7403365696717575e-20,0.9842126846313477,0.3809941858997346,32791,0.2426170422093552,0.61765900318278
4.0673072790013975,rising,0,-9.014118007235364e-17,5.710548561367213e-17,0.6989110708236694,-2.4808337710547376e-16,1.0231961464718405e-16,0.7457061409950256,-5.161576003057922e-19,3.7403365696717575e-20,0.9989110708236695,0.3814459295024873,32830,0.25453639848251264,0.31422299798578024
4.087466282006062,rising,0,-1.0482364918005968e-16,5.853622352325815e-17,0.7136934399604797,-2.949387251185195e-16,9.738104860522196e-17,0.7452167868614197,-5.161576003057922e-19,3.7403365696717575e-20,1.0136934399604798,0.38169060656929027,32851,0.2609922577649133,0.3948980011045933
4.107302071999584,rising,0,-1.2192803694687198e-16,5.9215418215503e-17,0.7285517454147339,-3.4837559854106995e-16,8.877702689335569e-17,0.745259165763855,-5.161576003057922e-19,3.7403365696717575e-20,1.028551745414734,0.3816694171180726,32849,0.2604331693422832,0.404637998144608
