0.000000000000000000e+00,-2.040902900923658725e-01
2.083333333333333218e-02,4.968553014335429924e-02
4.166666666666666435e-02,3.032135752853248878e-01
6.250000000000000000e-02,5.553219759479297579e-01
8.333333333333332871e-02,7.275083376427119441e-01
1.041666666666666574e-01,8.334197742649834817e-01
1.250000000000000000e-01,8.986574596120358027e-01
1.458333333333333148e-01,9.388854273590124810e-01
1.666666666666666574e-01,9.637932013598703440e-01
1.875000000000000000e-01,9.793950757418312669e-01
2.083333333333333148e-01,9.892593747022087047e-01
2.291666666666666574e-01,9.955976691846739612e-01
2.500000000000000000e-01,9.997634405720214890e-01
2.708333333333333148e-01,1.002567999622002715e+00
2.916666666666666297e-01,1.004514071062567293e+00
3.125000000000000000e-01,1.006026423075538245e+00
3.333333333333333148e-01,1.007080053042708867e+00
3.541666666666666297e-01,1.008105264681127267e+00
3.750000000000000000e-01,1.009026546973013749e+00
3.958333333333333148e-01,1.009723243573573459e+00
4.166666666666666297e-01,1.010215190183800127e+00
4.375000000000000000e-01,1.010499120779875915e+00
4.583333333333333148e-01,1.010612950827851186e+00
4.791666666666666297e-01,1.010802065224942314e+00
5.000000000000000000e-01,1.010933371658689017e+00
5.208333333333332593e-01,1.011016569816716171e+00
5.416666666666666297e-01,1.011062344675015323e+00
5.625000000000000000e-01,1.011075492966113210e+00
5.833333333333332593e-01,1.011042902471023019e+00
6.041666666666666297e-01,1.011040489115438978e+00
6.250000000000000000e-01,1.010866146555625011e+00
6.458333333333332593e-01,1.010865722586067328e+00
6.666666666666666297e-01,1.010755120172491361e+00
6.875000000000000000e-01,1.010854795233778081e+00
7.083333333333332593e-01,1.010929219790476674e+00
7.291666666666666297e-01,1.010927764019952324e+00
7.500000000000000000e-01,1.010890398401576018e+00
7.708333333333332593e-01,1.010921681785422077e+00
7.916666666666666297e-01,1.005569701376978209e+00
8.125000000000000000e-01,9.820236556974177855e-01
8.333333333333332593e-01,9.476770478016909305e-01
8.541666666666666297e-01,9.073965020435884599e-01
8.750000000000000000e-01,8.641675468845642083e-01
8.958333333333332593e-01,8.200129267970082125e-01
9.166666666666666297e-01,7.761369839469594023e-01
9.375000000000000000e-01,7.333853917579471471e-01
9.583333333333332593e-01,6.921592379376965143e-01
9.791666666666666297e-01,6.526524812164734568e-01
1.000000000000000000e+00,6.150137465608452869e-01
1.020833333333333259e+00,5.793488256098214828e-01
1.041666666666666519e+00,5.455974494949835663e-01
1.062500000000000000e+00,5.614318875263688557e-01
1.083333333333333259e+00,5.602193111423400262e-01
1.104166666666666519e+00,5.514302239343507051e-01
1.125000000000000000e+00,5.395266235649226472e-01
1.145833333333333259e+00,5.259389980331505843e-01
1.166666666666666519e+00,5.110883987017914576e-01
1.187500000000000000e+00,4.936199440590426923e-01
1.208333333333333259e+00,4.713149251973416942e-01
1.229166666666666519e+00,4.460006857036075689e-01
1.250000000000000000e+00,4.179464459111703611e-01
1.270833333333333259e+00,3.880552180669800677e-01
1.291666666666666519e+00,3.575409655311079793e-01
1.312500000000000000e+00,3.285796070196723151e-01
1.333333333333333259e+00,3.018585113479563820e-01
1.354166666666666519e+00,2.778641580894919971e-01
1.375000000000000000e+00,2.583210528338416023e-01
1.395833333333333259e+00,2.424297193107987081e-01
1.416666666666666519e+00,2.299590082598927665e-01
1.437500000000000000e+00,2.201033649141995452e-01
1.458333333333333259e+00,2.136705520378016920e-01
1.479166666666666519e+00,2.102964452848788690e-01
1.500000000000000000e+00,2.081545323796017699e-01
1.520833333333333259e+00,2.062279637228092988e-01
1.541666666666666519e+00,2.050160598964305692e-01
1.562500000000000000e+00,2.040645968751862993e-01
1.583333333333333259e+00,2.028176988201498832e-01
1.604166666666666519e+00,2.008657349996681718e-01
1.625000000000000000e+00,1.987320623838272349e-01
1.645833333333333259e+00,1.965127393972401215e-01
1.666666666666666519e+00,1.937950289672721316e-01
1.687500000000000000e+00,1.905179774607234089e-01
1.708333333333333259e+00,1.872313597199907476e-01
1.729166666666666519e+00,1.837559686586945629e-01
1.750000000000000000e+00,1.801968928430588146e-01
1.770833333333333259e+00,1.766693701076144929e-01
