t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,roll,pitch,solve_ms,ref_vx,ref_vy,ref_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,vbat,cmd_ctrl,spool_ceil,accz,hover_raw,hover_cmd,hover_est,hover_b50,b50_n,hover_vbat,az_mpc,eps0,eps_max,z_ground
8.156087573006516,prespin,0,0.02826358750462532,-0.0021731238812208176,0.03311764448881149,-0.0002100003039231524,-0.003146264934912324,-0.004232905805110931,0.02826358750462532,-0.0021731238812208176,0.03311764448881149,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02826358750462532,-0.0021731238812208176,0.03311764448881149,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9975121021270752,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.174418809008785,prespin,0,0.028256574645638466,-0.002176299225538969,0.03310156986117363,0.0001596235961187631,-0.0027540631126612425,-0.003444002941250801,0.028256574645638466,-0.002176299225538969,0.03310156986117363,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.028256574645638466,-0.002176299225538969,0.03310156986117363,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9987474083900452,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.194403319997946,prespin,0,0.02825666405260563,-0.00217931205406785,0.03309883549809456,0.00036073580849915743,-0.0029338111635297537,-0.0034996741451323032,0.02825666405260563,-0.00217931205406785,0.03309883549809456,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02825666405260563,-0.00217931205406785,0.03309883549809456,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9974306225776672,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.214400248019956,prespin,0,0.02826075069606304,-0.002185115125030279,0.033098962157964706,0.0006580079207196832,-0.0032033585011959076,-0.003581891069188714,0.02826075069606304,-0.002185115125030279,0.033098962157964706,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02826075069606304,-0.002185115125030279,0.033098962157964706,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9992381930351257,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.234499740006868,prespin,0,0.028272269293665886,-0.0021789094898849726,0.03310982882976532,0.0007136265630833805,-0.003826878033578396,-0.0038252805825322866,0.028272269293665886,-0.0021789094898849726,0.03310982882976532,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.028272269293665886,-0.0021789094898849726,0.03310982882976532,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9982454180717468,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.25480705400696,prespin,0,0.02826075442135334,-0.0021716386545449495,0.033104997128248215,0.0007609245949424803,-0.004381733480840921,-0.0035113771446049213,0.02826075442135334,-0.0021716386545449495,0.033104997128248215,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02826075442135334,-0.0021716386545449495,0.033104997128248215,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9999763369560242,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.274451864999719,prespin,0,0.02826155349612236,-0.002183610573410988,0.03310254588723183,0.0008042199187912047,-0.004967071115970612,-0.0038627502508461475,0.02826155349612236,-0.002183610573410988,0.03310254588723183,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02826155349612236,-0.002183610573410988,0.03310254588723183,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9951146245002747,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.294467436004197,prespin,0,0.028275461867451668,-0.0021722379606217146,0.03310101106762886,0.0008510887855663896,-0.005546311382204294,-0.0038747009821236134,0.028275461867451668,-0.0021722379606217146,0.03310101106762886,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.028275461867451668,-0.0021722379606217146,0.03310101106762886,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,0.9968298077583313,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.314534133998677,prespin,0,0.028270388022065163,-0.002183198230341077,0.03310456871986389,0.0008768053376115859,-0.005986188538372517,-0.003809612710028887,0.028270388022065163,-0.002183198230341077,0.03310456871986389,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.028270388022065163,-0.002183198230341077,0.03310456871986389,0.0,0.0,0.0,3.9114370346069336,nan,20000.0,1.0018424987792969,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.334568599006161,prespin,0,0.028291048482060432,-0.002168956445530057,0.033098720014095306,0.0009020154247991741,-0.006490045227110386,-0.00380081869661808,0.028291048482060432,-0.002168956445530057,0.033098720014095306,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.028291048482060432,-0.002168956445530057,0.033098720014095306,0.0,0.0,0.0,3.7002933025360107,nan,20000.0,0.9941747188568115,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.354755666019628,prespin,0,0.02827906236052513,-0.0021712062880396843,0.03310680761933327,0.0008985265158116817,-0.006847734563052654,-0.004203916061669588,0.02827906236052513,-0.0021712062880396843,0.03310680761933327,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02827906236052513,-0.0021712062880396843,0.03310680761933327,0.0,0.0,0.0,3.7002933025360107,nan,20000.0,1.0022186040878296,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.374623312993208,prespin,0,0.028280770406126976,-0.0021826657466590405,0.03310779109597206,0.0009112176485359669,-0.007331610191613436,-0.00395174790173769,0.028280770406126976,-0.0021826657466590405,0.03310779109597206,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.028280770406126976,-0.0021826657466590405,0.03310779109597206,0.0,0.0,0.0,3.7002933025360107,nan,20000.0,0.9978460669517517,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.394668638997246,prespin,0,0.02829221822321415,-0.0021698065102100372,0.033114153891801834,0.0009141178452409804,-0.007810730021446943,-0.003736053826287389,0.02829221822321415,-0.0021698065102100372,0.033114153891801834,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02829221822321415,-0.0021698065102100372,0.033114153891801834,0.0,0.0,0.0,3.7002933025360107,nan,20000.0,1.0034339427947998,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.41468212401378,prespin,0,0.02826823480427265,-0.002183414064347744,0.03312375769019127,0.0009162032511085272,-0.008276817388832569,-0.0032895863987505436,0.02826823480427265,-0.002183414064347744,0.03312375769019127,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02826823480427265,-0.002183414064347744,0.03312375769019127,0.0,0.0,0.0,3.7002933025360107,nan,20000.0,1.015439510345459,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
8.434485589008546,prespin,0,0.028245296329259872,-0.0022094317246228456,0.03312094509601593,0.0009047291823662817,-0.0084915179759264,-0.0018276529153808951,0.028245296329259872,-0.0022094317246228456,0.03312094509601593,0.0,20000,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.028245296329259872,-0.0022094317246228456,0.03312094509601593,0.0,0.0,0.0,3.7002933025360107,nan,20000.0,0.9845861792564392,nan,52000,nan,nan,0,nan,nan,nan,nan,0.03311764448881149
